Title,Link
KRI007 Ole Mic Odd - Mythical Realm EP (snippets),https://soundcloud.com/kri-records/kri007-ole-micc-odd-mythical-realm-snippets
Shokh - Torotam,https://soundcloud.com/brokntoys/shokh-torotam
Premiere: Chupacabras - Compassion [SM011],https://soundcloud.com/phormix/premiere-chupacabras-compassion-sm011-1
Black Sea (Sepehr Remix),https://soundcloud.com/anatolianweapons/black-sea-sepehr-remix-1
Mekas — Chaosmos — INS 4,https://soundcloud.com/tratratrax/mekas-chaosmos-ins-4
PREMIERE: Sansibar - Tamagotchi (20/20 Vision),https://soundcloud.com/hypno_groove/premiere-sansibar-tamagotchi-2020-vision
[PREMIERE] -- Sound Synthesis - Whatever You Want [Orbital Mechanics],https://soundcloud.com/sound-synthesis-official/premiere-sound-synthesis-whatever-you-want-orbital-mechanics
PREMIERE: The Spy - Hacking Mind [Kri Records],https://soundcloud.com/whypeopledance/premiere-the-spy-hacking-mind-kri-records
PREMIERE: Armec - Transcend (Nebulae Records),https://soundcloud.com/hypno_groove/premiere-armec-transcend-nebulae-records
Polygon Clouds,https://soundcloud.com/datawave/polygon-clouds
[Premiere] - Zeta Reticula - The Beryllium (Sound Synthesis Remix),https://soundcloud.com/sound-synthesis-official/premiere-zeta-reticula-the-berlium-sound-synthesis-remix
Ivna Ji - SUD II,https://soundcloud.com/brokntoys/ivna-ji-sud-ii
Zeta Reticula - Common Centre EP,https://soundcloud.com/eudemoniarecords/zeta-reticula-common-centre-ep
WF03 -- Vertical67 - Solitary World EP,https://soundcloud.com/sound-synthesis-official/wf03-vertical67-solitary-world
Cignol - Altered Sense,https://soundcloud.com/furthur_elect0nix/cignol-claire-waiting-master-jhnz
PREMIERE : End In Tears - Infinity Pool,https://soundcloud.com/les-yeux-orange/premiere-end-in-tears-infinity-pool
BP004 Command D - Clone Dialogue EP(snippets),https://soundcloud.com/bodypromise/bp004-command-d-clone-dialogue-snippets
Tom Carruthers-In The Night (LIES-190),https://soundcloud.com/l-i-e-s/tom-carruthers-in-the-night-lies-190
PREMIERE⚡Floatilla (feat V2) - Beyond The Clouds [Electric Shapes],https://soundcloud.com/electric_shapes/floatilla-feat-v2-beyond-the-clouds
Healing Force Project - It’s Your Brain Food [Beat Machine Records],https://soundcloud.com/inverted-audio/healing-force-project-its-your-brain-food-beat-machine-records
214 - Alpenglow [20/20 Vision],https://soundcloud.com/inverted-audio/214-alpenglow-2020-vision
TL PREMIERE : James Shinra - Flexion [We're Going Deep],https://soundcloud.com/tracklistings3-0/tl-premiere-1183
TL PREMIERE : Fugitive - Too Strong (MOY Remix) [AmenTec],https://soundcloud.com/tracklistings3-0/tl-premiere-1056
Submerged,https://soundcloud.com/junq/submerged
CRF015 - 2030 - Future Feelings,https://soundcloud.com/construct-reform/crf015-2030-future-feelings
Sepehr & Elena Colombi - Undulating Thoughts [XLR8R+039],https://soundcloud.com/xlr8r/sepehr-elena-colombi-undulating-thoughts-xlr8r039
Sound Synthesis - Orbital 105 EP,https://soundcloud.com/sound-synthesis-official/orbital-105
salfa,https://soundcloud.com/hvl/salfa
Lyder - Helichrysum [Jazz-O-Tech],https://soundcloud.com/inverted-audio/lyder-helichrysum-jazz-o-tech
Sansibar - Tamagotchi (Snippet),https://soundcloud.com/2020visionrecordings/sansibar-tamagotchi-snippet
Arkajo - Earth,https://soundcloud.com/groove-magazin/arkajo-earth
PREMIERE: Orphic - Macoubea [E2-E8],https://soundcloud.com/the-ransom-note/premiere-orphic-macoubea-e2-e8
ITX026 MPU101 - MPU102,https://soundcloud.com/ilian-tape/itx026-mpu101-mpu102
PREMIERE: Helmet - Purple Edge [Private Parts],https://soundcloud.com/the-ransom-note/premiere-helmet-purple-edge-private-parts
B1 - Screw Driver ft Aadam,https://soundcloud.com/sleepd/b1-screw-driver-ft-aadam
PREMIERE: SPF 50 - New Numbers (Professional Music),https://soundcloud.com/hypno_groove/premiere-spf-50-new-numbers-professional-music
TL PREMIERE : Versalife - Polychron [20/20 Vision Recordings],https://soundcloud.com/tracklistings3-0/tl-premiere-1145
The Ambientist - 5,https://soundcloud.com/styraxelectronica/the-ambientist-5
Survival Paradox - Everything Finally Falls Apart [CRAVE007 | Premiere],https://soundcloud.com/novafuture/survival-paradox-everything-finally-falls-apart-full-track
PREMIERE : Not Even Noticed - Diffeomorphism (ft Evie Shockley),https://soundcloud.com/les-yeux-orange/premiere-not-even-noticed-diffeomorphism-ft-evie-shockley
Allaballa,https://soundcloud.com/orla_cd/orla-allaballa
Aphex Twin - blackbox life recorder 20 ambient 760,https://soundcloud.com/user21041984001/aphex-twin-blackbox-life
PREMIERE: not even noticed - Petulant [Holding Hands],https://soundcloud.com/four-heads/premiere-not-even-noticed-petulant-holding-hands
KiNK - For The People (HYPE100) [clips],https://soundcloud.com/hypercolourrecords/kink-for-the-people-hype100-clips
Premiere: Yunna ‘Day’,https://soundcloud.com/djmag/premiere-yunna-day
Blackbox Life Recorder 21f / in a room7 F760,https://soundcloud.com/richarddjames/sets/blackbox-life-recorder-21f-in
Galactic Melt (10th Anniversary Edition),https://soundcloud.com/com-truise/sets/galactic-melt-10th-anniversary
4 Morant (Better Luck Next Time),https://soundcloud.com/com-truise/4-morant-better-luck-next-time
Foxconn Suicide - Levitation Down,https://soundcloud.com/a-flooded-need/foxconn-suicide-levitation-down
James Shinra - WGD 12005 (WGD12005),https://soundcloud.com/subwax-bcn-distribution/wgd12005
Elements Chord Mode,https://soundcloud.com/leafcutterjohn/elements-chord-mode
RAW TAKES_ZMNT008,https://soundcloud.com/zementrecordings/zmnt008-raw-takes
Andrea Ferlin & Fabio Caria - Senua (Claudio PRC Remix) [DeepnosiS],https://soundcloud.com/oslated/andrea-ferlin-fabio-caria-senua-claudio-prc-remix-deepnosis
PREMIERE: Younger Than Me & Skelesys - We Are Massive One Massive [LES YEUX ORANGE],https://soundcloud.com/fnstff/we-are-massive-one-massive
Live Techno Music | Arthur Hnatek for Detroit Classic Gallery,https://soundcloud.com/arthur-hnatek/live-techno-music-arthur-hnatek-for-detroit-classic-gallery
Lonefront - Additive Spectra [Kajunga Records],https://soundcloud.com/inverted-audio/lonefront-additive-spectra-kajunga-records
We Hear You (FREE DL),https://soundcloud.com/dsffctd/we-hear-you-free-dl
"PREMIERE: Scruscru, Meowsn, Whatever - Fat That Track [Flat White Records]",https://soundcloud.com/delicieuse-musique/premiere-scruscru-meowsn-whatever-fat-that-track-scruniversal-records
FOR03: Fragments Of Reality Vol.3,https://soundcloud.com/2020visionrecordings/for03-fragments-of-reality-vol3
Separate Us,https://soundcloud.com/dillonzky/separate-us
PREMIERE: Measure Divide - Considerably Longer Tones [ Clergy ],https://soundcloud.com/keyimagazine/premiere-measure-divide-considerably-longer-clergy
PREMIERE: Deepchord - Memories [ Soma Records ],https://soundcloud.com/keyimagazine/premiere-deepchord-memories-soma-records-1
HWX - 02 - BEN SUN - LOFI SPIRITS (HOUSEWAX),https://soundcloud.com/dbh-music/hwx-02-ben-sun-lofi-spirits-housewax
Jeigo - So Many Times [air miles],https://soundcloud.com/inverted-audio/jeigo-so-many-times-air-miles
PREMIERE: Lucid Distraction - Shake That (Disaffected Remix) [Native Boundaries],https://soundcloud.com/filth-inc-official/premiere-lucid-distraction-shake-that-disaffected-remix-native-boundaries
Tessela - Hackney Parrot (Disaffected Bootleg),https://soundcloud.com/dsffctd/tessela-hackney-parrot-disaffected-bootleg
PREMIERE : Coloray - Blinded (Ineffekt's Cascading Version),https://soundcloud.com/les-yeux-orange/premiere-coloray-blinded-ineffekt-cascading-version
PREMIERE: Jeigo - Lost River,https://soundcloud.com/boltingbits/premiere-jeigo-lost-river
PREMIERE : Sentient State - Sentient Machines,https://soundcloud.com/les-yeux-orange/premiere-sentient-state-sentient-machines
PREMIERE: Snake Milk - Darkness Mit Pommes (Unit - 83 Remix),https://soundcloud.com/oberwave/premiere-snake-milk-darkness-mit-pommes-unit-83-remix
TL PREMIERE : /DL/MS/ - Mountains [TRUST],https://soundcloud.com/tracklistings3-0/tl-premiere-906
Birds ov Paradise - Rainmaker,https://soundcloud.com/hypnus/birds-ov-paradise-rainmaker
Internal Control,https://soundcloud.com/radiantfutur/sets/internal-control
4UKRAINE,https://soundcloud.com/marco_shuttle/4ukraine
Chorus,https://soundcloud.com/nthngnthng/chorus
Black History Month: Indie Special by Ravyn Lenae,https://soundcloud.com/crackmagazine/black-history-month-indie-special-by-ravyn-lenae
SVEN VÄTH - MYSTIC VOICES / BUTOH - COR12171,https://soundcloud.com/cocoonrecordings/sets/sven-vath-mystic-voices-butoh-cor12171
Doctrina Natura - The Hidden Power Of Reciting Mantras [OSL020] (Snippets),https://soundcloud.com/oslated/doctrina-natura-the-hidden-power-of-reciting-mantras-osl020-snippets
PREMIERE | Sestrica - New Era [Polymorphism] 2021,https://soundcloud.com/44100hzsocialclub/premiere-sestrica-new-era-polymorphism-2021
[Premiere] Serge Geyzel - Promises (out on Adepta Editions),https://soundcloud.com/seeksicksound/premiere-serge-geyzel-promised-out-on-adepta-editions
3 Swords Republic w/ Kier & Tellamont - October 2021,https://soundcloud.com/balamii/3-swords-republic-w-kier-tellamont-october-2021
RA Podcast Archive: 001-500,https://soundcloud.com/resident-advisor/sets/ra-podcast-archive
A2. Mindless Evolving Objects - Lunar Trace,https://soundcloud.com/dddsssppp/a2-mindless-evolving-objects-lunar-trace
PREMIERE : Dombrance - Taubira (Ichisan & Gouranga Clan Disko Dub),https://soundcloud.com/les-yeux-orange/premiere-dombrance-taubira-ichisan-gouranga-clan-disko-dub
PREMIERE: James Shinra - Gyorgy [Craigie Knowes],https://soundcloud.com/four-heads/premiere-james-shinra-gyorgy-craigie-knowes
(DE64) BJIKA - STAR TRAVEL - ALBUM CLIPS,https://soundcloud.com/deep_electronic/de64-bjika-star-travel-album-clips
BRKN015 // Pépé Elle - Breaks N Pieces Vol. 15,https://soundcloud.com/cheekymusicgroup/brkn015-pepe-elle-breaks-n-pieces-vol-15
PREMIERE: House of Ho - Please Hold [Zen 2000],https://soundcloud.com/the-ransom-note/premiere-house-of-ho-please-hold-zen-2000
Stabilizer - Electrophobic (AGTE02),https://soundcloud.com/agtrecords/stabilizer-electrophobic-agte02
Premiere: OFK - Stepping Into The Dark [Syncretism],https://soundcloud.com/soundsfromnowhere01/premiere-ofk-stepping-into-the-dark-syncretism
TUP001 A RADIOACTIVE MAN - GO AHEAD LONDON,https://soundcloud.com/radioactiveman/tup001-a-radioactive-man-go-ahead-london-pm-1644-pm
PREMIERE: Arsonist Recorder - React,https://soundcloud.com/flatlandfrequencies/premiere-arsonist-recorder-react
TÉNÈBRE - Axe Nord-Sud,https://soundcloud.com/armandanchik/tenebre-axe-nord-sud
Biotic Interaction [Furthur Electronix],https://soundcloud.com/loukarsh/biotic-interaction-furthur-electronix
Vertical67 - Sapphire Blue,https://soundcloud.com/vortex-traks/vertical67-sapphire-blue
DEE002 B1 - Tred - S2003 (Privacy Remix),https://soundcloud.com/doedeedoedee/dee002-b1-tred-s2003-privacy-remix
A1 Lobec - 5am Nostalgia,https://soundcloud.com/furthur_elect0nix/a1lobec-5am-nostalgia-final-ep-version-master-jhnz
Enkō - Codon [Crescent London],https://soundcloud.com/hadal-resonance/enko-codon-crescent-london
[Premiere] Dubix - 10 994m (out on Mouvance Sonore),https://soundcloud.com/seeksicksound/premiere-dubix-10-994m-out-june-3-on-mouvance-sonore
PTN018 ODRACIR - ATMOS EP,https://soundcloud.com/wearepartisan/ptn018-odracir-atmos-ep
